Station,Code,Lat ,Lon,Elevation_ft,Elevation_m
Site1_Queens_Botanical_Garden_Fifteen,QBG,40.75062,-73.82873,16.4,5.00
Site2_Queensborough_Community_College_Fifteen,QCC,40.75685,-73.7562,78.7,23.99
Site3_Ronald_Edmonds_Learning_Center_Fifteen,REM,40.68843,-73.97116,82,24.99
Site4_BrownsvilleBPL_Fifteen,BPL,40.6716,-73.90847,49.2,15.00
Site5_Middletown_Houses_Fifteen,MTP,40.84375,-73.83107,42.7,13.01
Site6_Dyckman_Houses_Fifteen,DKN,40.86086,-73.92219,9.8,2.99
Site7_Williamsburg_Houses_Fifteen,WBG,40.71064,-73.94253,39.4,12.01
Site8_Polo_Ground_Fifteen,PGD,40.83086,-73.93612,13.1,3.99
Site9_Far_Rockaway_Fifteen,FRW,40.59684,-73.77221,3.3,1.01
Site10_BayView_Fifteen,BAY,40.63361,-73.88611,13.1,3.99
Site11_Baisley_Park_Fifteen,BPK,40.68531,-73.78296,16.4,5.00
Site12_East_River_Fifteen,ERV,40.78849,-73.94018,3.3,1.01
Site13_Astoria_Fifteen,AST,40.77306,-73.93289,13.1,3.99
Site14_Haber_Coney_Island_Fifteen,HBR,40.57338,-73.99098,3.3,1.01
Site15_Walt_Whitman_MS_Fifteen,WWM,40.64836,-73.95343,42.7,13.01
Site16_JHS_High_School_Fifteen,JHS,40.59292,-73.93793,6.6,2.01
Site17_BASE_Fifteen,BHS,40.67004,-73.96102,141.1,43.01
Site18_MDC_School_Fifteen,MDC,40.75761,-73.90819,45.9,13.99
Site19_Montauk_School_Fifteen,MKI,40.63489,-73.98183,52.5,16.00
